int;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29
i1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
i2;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0
i3;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;0
i4;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0
i5;1;0;1;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;0
i6;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0
i7;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;0;1;1;0;1;0;1;1;0;0
i8;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;0
i9;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1
i10;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0
i11;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;1
i12;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
i13;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0
i14;0;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0
i15;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0
i16;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0
i17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i18;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1
i19;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
i20;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
i21;0;0;0;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0
i22;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0
i23;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0
i24;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0
i25;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0
i26;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0
i27;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1
i28;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
i29;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
i30;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1
i31;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0
i32;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
i33;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0
i34;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
i35;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i36;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
i37;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
i38;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i39;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
i40;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
i41;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0
